spqo,present_cnt,absent_cnt
"('biological process', 'related to', 'n/a', 'information content entity')",10,0
"('biological process', 'related to', 'n/a', 'molecular activity')",25,0
"('biological process', 'related to', 'n/a', 'phenomenon')",1,0
"('biological process', 'related to', 'n/a', 'polypeptide')",1,0
"('biological process', 'related to', 'n/a', 'procedure')",10,0
"('cell', 'affects', 'n/a', 'activity')",38,0
"('cell', 'affects', 'n/a', 'anatomical entity')",1,0
"('cell', 'affects', 'n/a', 'behavior')",4,0
"('cell', 'affects', 'n/a', 'biological process')",1319,0
"('cell', 'affects', 'n/a', 'cell')",2,0
"('cell', 'affects', 'n/a', 'disease or phenotypic feature')",1,0
"('cell', 'affects', 'n/a', 'information content entity')",23,0
"('cell', 'affects', 'n/a', 'molecular activity')",10,0
"('cell', 'affects', 'n/a', 'phenomenon')",88,0
"('cell', 'affects', 'n/a', 'procedure')",6,0
"('cell', 'causes', 'n/a', 'disease or phenotypic feature')",1,0
"('cell', 'coexists with', 'n/a', 'chemical entity')",1,0
"('cell', 'coexists with', 'n/a', 'gene or gene product')",1,0
"('cell', 'has part', 'n/a', 'anatomical entity')",671,0
"('cell', 'has part', 'n/a', 'cell')",39,0
"('cell', 'has part', 'n/a', 'cellular component')",2815,0
"('cell', 'has part', 'n/a', 'chemical entity')",2654,0
"('cell', 'has part', 'n/a', 'disease or phenotypic feature')",74,0
"('cell', 'has part', 'n/a', 'gene or gene product')",8029,0
"('cell', 'has part', 'n/a', 'genomic entity')",23,0
"('cell', 'has part', 'n/a', 'gross anatomical structure')",51,0
"('cell', 'has part', 'n/a', 'information content entity')",1,0
"('cell', 'has part', 'n/a', 'organism taxon')",17,0
"('cell', 'has part', 'n/a', 'polypeptide')",122,0
"('cell', 'interacts with', 'n/a', 'cell')",3285,0
"('cell', 'interacts with', 'n/a', 'cellular component')",24,0
"('cell', 'interacts with', 'n/a', 'chemical entity')",575,0
"('cell', 'interacts with', 'n/a', 'disease or phenotypic feature')",2,0
"('cell', 'interacts with', 'n/a', 'gene or gene product')",5387,0
"('cell', 'interacts with', 'n/a', 'genomic entity')",14,0
"('cell', 'interacts with', 'n/a', 'polypeptide')",2,0
"('cell', 'located in', 'n/a', 'anatomical entity')",4,0
"('cell', 'occurs in', 'n/a', 'cohort')",1,0
"('cell', 'occurs in', 'n/a', 'gross anatomical structure')",1,0
"('cell', 'produces', 'n/a', 'anatomical entity')",87,0
"('cell', 'produces', 'n/a', 'cellular component')",1,0
"('cell', 'produces', 'n/a', 'chemical entity')",1791,0
"('cell', 'produces', 'n/a', 'disease or phenotypic feature')",7,0
"('cell', 'produces', 'n/a', 'gene or gene product')",9445,0
"('cell', 'produces', 'n/a', 'genomic entity')",32,0
"('cell', 'produces', 'n/a', 'gross anatomical structure')",3,0
"('cell', 'produces', 'n/a', 'organism taxon')",2,0
"('cell', 'produces', 'n/a', 'polypeptide')",51,0
"('cell', 'related to', 'n/a', 'disease or phenotypic feature')",1,0
"('cell', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",5,0
"('cellular component', 'affects', 'n/a', 'biological process')",15,0
"('cellular component', 'affects', 'n/a', 'disease or phenotypic feature')",5,0
"('cellular component', 'affects', 'n/a', 'gene or gene product')",1,0
"('cellular component', 'affects', 'n/a', 'molecular activity')",1,0
"('cellular component', 'affects', 'n/a', 'phenomenon')",1,0
"('cellular component', 'causes', 'n/a', 'biological process')",1,0
"('cellular component', 'causes', 'n/a', 'disease or phenotypic feature')",10,0
"('cellular component', 'coexists with', 'n/a', 'gene or gene product')",2,0
"('cellular component', 'has part', 'n/a', 'anatomical entity')",67,0
"('cellular component', 'has part', 'n/a', 'cell')",12,0
"('cellular component', 'has part', 'n/a', 'cellular component')",1596,0
"('cellular component', 'has part', 'n/a', 'chemical entity')",2424,0
"('cellular component', 'has part', 'n/a', 'disease or phenotypic feature')",20,0
"('cellular component', 'has part', 'n/a', 'gene or gene product')",9282,0
"('cellular component', 'has part', 'n/a', 'genomic entity')",39,0
"('cellular component', 'has part', 'n/a', 'gross anatomical structure')",8,0
"('cellular component', 'has part', 'n/a', 'information content entity')",1,0
"('cellular component', 'has part', 'n/a', 'organism taxon')",9,0
"('cellular component', 'has part', 'n/a', 'polypeptide')",71,0
"('cellular component', 'has part', 'n/a', 'publication')",1,0
"('cellular component', 'interacts with', 'n/a', 'cell')",18,0
"('cellular component', 'interacts with', 'n/a', 'chemical entity')",6,0
"('cellular component', 'interacts with', 'n/a', 'gene or gene product')",41,0
"('cellular component', 'interacts with', 'n/a', 'organism taxon')",1,0
"('cellular component', 'located in', 'n/a', 'anatomical entity')",318,0
"('cellular component', 'located in', 'n/a', 'cell')",266,0
"('cellular component', 'located in', 'n/a', 'cellular component')",316,0
"('cellular component', 'located in', 'n/a', 'chemical entity')",1,0
"('cellular component', 'located in', 'n/a', 'cohort')",1,0
"('cellular component', 'located in', 'n/a', 'gross anatomical structure')",360,0
"('cellular component', 'located in', 'n/a', 'information content entity')",2,0
"('cellular component', 'located in', 'n/a', 'organism taxon')",3,0
"('cellular component', 'located in', 'n/a', 'population of individual organisms')",1,0
"('cellular component', 'located in', 'n/a', 'publication')",91,0
"('cellular component', 'occurs in', 'n/a', 'cell')",2,0
